Red,#ff4531
Green,#afe062
Red,#f03743
Yellow,#d9b215
Pink,#fd05ad
Blue,#250ad8
Grey,#6d8576
Green,#1a8b60
Red,#f33f1e
Blue,#1e84a4
Pink,#e68298
Green,#09b68c
Grey,#c885ae
Green,#19ac1b
Green,#8beaeb
Green,#4fcc4f
Pink,#e56c9d
Yellow,#c7a513
Purple,#ec47cb
Grey,#6b8174
Pink,#d60189
Green,#1f7073
Grey,#d2b4d8
Green,#475c23
Blue,#18f5ce
Purple,#6a133e
Green,#20c196
Blue,#26e0e2
Green,#44f7b0
Green,#85ca8d
Yellow,#f3f1a9
Green,#77bc8d
Green,#b3cd65
Green,#035c21
Blue,#3c76b8
Purple,#fa51e5
Blue,#69e1fe
Blue,#062d5c
Purple,#9349dc
Purple,#c17df2
Purple,#8d6489
Red,#e22535
Grey,#e4ece6
Yellow,#d9cf24
Red,#fa1b2e
Purple,#b35f91
Green,#9cc652
Green,#82c5a5
Orange,#f99373
Green,#4b9a04
Blue,#1276cb
Purple,#951dba
Orange,#a27304
Grey,#857e6e
Purple,#730ea3
Blue,#5344ab
Red,#6f264e
Purple,#8516c5
Blue,#101a5a
Green,#0ccca1
Grey,#09293b
Grey,#233504
Green,#5d992b
Grey,#604b69
Grey,#8e8a6a
Orange,#a46311
Blue,#2f3ab4
Pink,#f65f73
Green,#16d374
Green,#095d57
Yellow,#909b1b
Green,#40f995
Purple,#6726b2
Blue,#293187
Grey,#490a08
Blue,#301fea
Grey,#2d2028
Green,#119c69
Grey,#302911
Purple,#9001d9
Blue,#016ea0
Red,#641529
Yellow,#c7d871
Pink,#e70e92
Yellow,#e3f378
Yellow,#b8ac26
Blue,#2b14ea
Orange,#cd7c51
Pink,#e37393
Green,#adc88b
Orange,#b29042
Green,#27804f
Grey,#7e6784
Green,#99fc5e
Pink,#ec2a78
Purple,#e353b4
Green,#49dc6a
Purple,#6e2265
Green,#80c483
Grey,#5d4a50
